CO_UNIDADE;NO_UNIDADE
653;BOA VISTA, RR
654;JUSTICA FEDERAL ARACAJU, SE
655;GAMA, DF
656;PORCIUNCULA, RJ
657;JARDIM DA SAUDE, SP
658;MACAPA, AP
659;MAUA, SP
660;PAPAGAIOS, MG
661;PORTUGAL, SP
662;UNIVERSIDADE FEDERAL VITORIA, ES
663;UNIVERSIDADE FEDERAL CURITIBA, PR
664;MINISTERIO DA EDUCACAO, DF
665;AEROPORTO DE SALVADOR, BA
666;UNIVERSIDADE FEDERAL BELEM, PA
667;UNIVERSIDADE FEDERAL DE GOIAS, GO
668;FORTAL, CE
671;UNIVERSIDADE FEDERAL SAO LUIS, MA
672;SHOPPING DA BAHIA, BA
673;ROCHA MIRANDA, RJ
674;LAGO SUL, DF
675;JUSTICA DO TRABALHO RIO CLARO, SP
676;CONCEICAO, SP
678;CIDADE UNIVERSITARIA, PE
679;CAPITAO CASA, SP
680;REALENGO, RJ
681;MANGABEIRAS, MG
682;JUSTICA FEDERAL GOIANIA, GO
683;MARABA, PA
684;CRATO, CE
685;DNOCS, CE
686;UFMT, MT
688;NUCLEO BANDEIRANTE, DF
689;CONSOLACAO, SP
690;IBIRACU, ES
691;MACHADO, MG
692;CANELA, RS
693;SANTA VITORIA DO PALMAR, RS
694;ANDRADAS, MG
695;SANTO AUGUSTO, RS
696;SAO SEBASTIAO DO CAI, RS
697;MARAU, RS
698;SERAFINA CORREA, RS
699;PIRIPIRI, PI
700;OURO FINO, MG
701;XANXERE, SC
702;SAO MIGUEL DO OESTE, SC
703;SANTO ANTONIO DA PATRULHA, RS
704;AIMORES, MG
705;ARACUAI, MG
706;CONSELHEIRO PENA, MG
707;GUANHAES, MG
708;IBIA, MG
709;MONTE CARMELO, MG
710;RAUL SOARES, MG
711;RIO LARGO, AL
712;SANTANA DO IPANEMA, AL
713;QUILOMBO DOS PALMARES, AL
714;ITACOATIARA, AM
715;PARINTINS, AM
716;MONTANHA, ES
717;SAO MATEUS, ES
718;BAIXO GUANDU, ES
719;BARRA DE SAO FRANCISCO, ES
721;SAO GABRIEL DA PALHA, ES
722;GUAIRA, PR
723;IPORA, PR
724;IVAIPORA, PR
725;TELEMACO BORBA, PR
726;TOLEDO, PR
728;SAO RAIMUNDO NONATO, PI
729;MANAIRA SHOPPING, PB
731;NOVA CAJURU, PR
732;POMBAL, PB
733;ITABAIANA DO NORTE, PB
734;JARDIM PERI, SP
735;PRAIA DE TAMBAU, PB
737;BORBOREMA, PB
738;BARUERI, SP
739;TOBIAS BARRETO, SE
740;PORTO FERREIRA, SP
741;PEDREIRA, SP
742;ITANHAEM, SP
743;ARACATI, CE
744;BREJO SANTO, CE
745;CAMOCIM, CE
746;CANINDE, CE
747;CRATEUS, CE
748;ITAPIPOCA, CE
749;JAGUARIBE, CE
750;LIMOEIRO DO NORTE, CE
751;MARANGUAPE, CE
752;QUIXADA, CE
754;SENADOR POMPEU, CE
755;RUSSAS, CE
756;ASSU, RN
758;CAICO, RN
759;TIROL, RN
760;JOAO CAMARA, RN
761;MACAU, RN
762;NOVA CRUZ, RN
763;PAU DOS FERROS, RN
764;BACABAL, MA
765;BARRA DO CORDA, MA
766;CODO, MA
767;PEDREIRAS, MA
768;SANTA INES, MA
769;RIO BONITO, RJ
770;CARLOS CHAGAS, MG
771;JANUARIA, MG
772;ARARIPINA, PE
773;BELO JARDIM, PE
774;GOIANA, PE
775;PESQUEIRA, PE
776;SALGUEIRO, PE
777;SERTANIA, PE
779;GUANAMBI, BA
780;IRECE, BA
781;RIBEIRA DO POMBAL, BA
782;SAO JOAQUIM DA BARRA, SP
783;BARREIRAS, BA
784;BOM JESUS DA LAPA, BA
785;IBIAPABA, CE
787;NAVIRAI, MS
788;NOVA ANDRADINA, MS
790;VARZEA GRANDE, MT
791;FORMOSA, GO
792;GOIANESIA, GO
793;GURUPI, TO
794;SAO MIGUEL DO ARAGUAIA, GO
795;RIALMA, GO
796;VIDEIRA, SC
797;CARAGUATATUBA, SP
798;UBATUBA, SP
799;SANTA FE DO SUL, SP
